,MRO,zipcode,30miles?
848,"Electrolizing, Inc.",90011,#N/A
713,"Chromalloy, Nevada",89706,#N/A
765,Cross Check Aviation Parts,89511,#N/A
1347,"Quality Air Services, Inc.",89431,#N/A
1021,"Hutt Aviation, Inc.",89423,#N/A
66,"Bruce Aerospace, Inc.",89403,#N/A
1134,"Lone Mountain Aviation, Inc.",89130,#N/A
628,Black Mountain Avionics,89005,#N/A
989,"Helicopter Services Of Nevada, LLC",89005,#N/A
1518,Stewart Industries International Roswell,88203,#N/A
533,Avflight Roswell,88203,#N/A
1417,Santa Fe Aero Services LLC,87507,#N/A
0,"Aeroparts Manufacturing & Repair, Inc.",87124,#N/A
287,"Aero Mechanical Industries, Inc.",87124,#N/A
1653,"Utilicraft Aerospace Industries, Inc.",87121,#N/A
1671,Vibrant Corp.,87113,#N/A
218,Ultramain Systems,87109,#N/A
1233,ONE Aviation Corp.,87106,#N/A
487,Arizona Air-Craftsman,86301,#N/A
1425,Scott Instrument Co.,86301,#N/A
1647,Universal Avionics Systems Corporation,85756,#N/A
1429,"Securaplane Technologies, Inc.",85755,#N/A
1486,"Southwest Avionics, Inc.",85735,#N/A
677,Cappsco International Corp.,85719,#N/A
154,K&M Industry (Product name StrutWipe),85712,#N/A
432,"Airtronics, Inc.",85710,#N/A
1319,Premier Aviation,85706,#N/A
354,"AIM, LLC",85705,#N/A
399,"Aircraft Inspection & Management, LLC.",85705,#N/A
462,"American Turbo Systems, Inc.",85705,#N/A
40,Ascent Aviation Services,85653,#N/A
110,"Galaxy International, Inc.",85338,#N/A
510,"Associated Painters, Inc., Arizona",85338,#N/A
931,Galaxy International Inc.,85338,#N/A
684,"Castle Aeronautics, LLC",85308,#N/A
436,"Airwest Helicopters, LLC",85307,#N/A
1303,"Praxis Resources, Inc.",85295,#N/A
19,Aero-zone,85286,#N/A
392,"Aircraft Engine Specialists, LLC",85286,#N/A
967,Harter Aerospace,85283,#N/A
658,"Butler National Corp., Tempe",85282,#N/A
1057,"Jansens Aircraft Systems Controls, Inc.",85282,#N/A
1281,"Phoenix Air Repair, Inc.",85281,#N/A
1282,"Phoenix Aviation Services, LLC",85281,#N/A
208,StandardAero,85253,#N/A
52,"Aviation Mining Solutions, LLC",85233,#N/A
377,Air Transport Components,85233,#N/A
1269,Perform Air International Inc.,85233,#N/A
46,AvAir,85226,#N/A
1601,Triumph Air Repair,85226,#N/A
1619,"TurbineAero, Inc.",85226,#N/A
144,ITS,85225,#N/A
1414,"San Tan Aviation, LLC",85225,#N/A
1270,"Perform Air International, Inc.",85223,#N/A
991,"Heliponents, Inc.",85215,#N/A
318,"AeroMaritime America, Inc.",85215,#N/A
374,"Air Response, Inc.",85215,#N/A
489,"Arizona Aircraft Interior Designs, Inc.",85215,#N/A
887,"Falcon Executive Aviation, Inc.",85215,#N/A
1151,Marsh Aviation Co.,85215,#N/A
1553,"Tango One Aviation, Inc.",85215,#N/A
244,Able Aerospace,85212,#N/A
246,"Able Aerospace Services, Inc.",85212,#N/A
488,Arizona Aircraft Accessories,85212,#N/A
473,"AmSafe, Inc.",85043,#N/A
711,"Chromalloy, Arizona",85043,#N/A
345,"Aerotec International, Inc.",85040,#N/A
11,Advanced Materials Technologies,85034,#N/A
127,Honeywell,85034,#N/A
364,"Air Gear Industries International, Inc.",85034,#N/A
1010,Honeywell Phoenix Repair & Overhaul,85034,#N/A
259,ACSS Repair & Overhaul,85027,#N/A
894,"Fire-Tec Aero Systems, LLC",85027,#N/A
1229,"Ohlinger Industries, Inc.",85027,#N/A
503,ASI Services Intl. LLC,85024,#N/A
174,MR Steel,85019,#N/A
883,"F&B Mfg, LLC",85019,#N/A
703,"ChemResearch Co., Inc.",85007,#N/A
1544,TAC Air PVU,84601,#N/A
1093,Keystone Aviation,84116,#N/A
1096,"Kings Avionics, Inc.",84116,#N/A
1146,"Malmrose Heli-Services, Inc.",84095,#N/A
1308,"Precision Air Power, LLC",84087,#N/A
1517,Stewart Air Services,84058,#N/A
1720,ZERO Cases,84054,#N/A
1042,"Intermountain Turbine Services, Inc.",84042,#N/A
1695,WesTest Engineering Corporation,84025,#N/A
233,145 – The145.com,84004,#N/A
857,Empire Aerospace,83835,#N/A
18,AERO Specialties,83713,#N/A
1316,"Precision Propeller Service, Inc.",83705,#N/A
562,"Aviation Specialties Unlimited, Inc.",83705,#N/A
988,Helicopter Maintenance Corp.,83705,#N/A
1055,Jackson Jet Center,83705,#N/A
1693,"Western Aircraft, Inc.",83705,#N/A
1204,"Nampa Valley Helicopters, Inc.",83642,#N/A
475,"Anderson Aeromotive, Inc.",83530,#N/A
428,"Airpower Unlimited, LLC",83338,#N/A
1001,"High Range Aviation, Inc.",83330,#N/A
574,"Avionics Shop, Inc.",83301,#N/A
1294,"Positron Systems, Inc.",83201,#N/A
621,"Bighorn Airways, Inc.",82801,#N/A
1356,R & G Aircraft Service,82633,#N/A
1154,"Martin Pneumatics, Inc.",82520,#N/A
1690,"West Star Aviation, Inc., Grand Junction",81506,#N/A
614,Berkshire Instrument,81401,#N/A
798,"Depot Avionics, Inc.",81101,#N/A
816,"Doss Aviation, Inc.",80917,#N/A
977,"Hayes Aviation, LLC",80720,#N/A
606,"Beegles Aircraft Service, Inc.",80631,#N/A
575,"Avionics Specialists, LLC",80538,#N/A
1210,"The New Firewall Forward, Inc.",80538,#N/A
983,"Heli-One, Colorado",80524,#N/A
301,"Aero Systems, Inc.",80516,#N/A
1387,"Rocky Mountain Propellers, Inc.",80516,#N/A
909,Flow Systems Inc.,80513,#N/A
340,"Aerospace Technologies International, Inc.",80301,#N/A
565,Aviation Window Services,80301,#N/A
1692,Western Aero,80229,#N/A
985,"Heliarc Welding Service, Inc.",80207,#N/A
482,Arapahoe Aero Avionics,80112,#N/A
512,"Astrodyne International, Inc.",80112,#N/A
690,Centennial Aircraft Interiors Corp.,80112,#N/A
692,"Centennial Instruments, Inc.",80112,#N/A
1443,"Signature Flight Support, Denver (APA)",80112,#N/A
1519,"Straight Flight, Inc.",80112,#N/A
1644,United Rotorcraft,80112,#N/A
1591,"Tri-County Instruments, Inc.",80026,#N/A
295,"Aero Propeller & Accessories, Inc.",80021,#N/A
1209,Network Global Logistics (NGL,80021,#N/A
1514,"Stevens Aviation, Inc., Denver",80021,#N/A
142,International Governor Services,80020,#N/A
845,"El Paso Aero, Inc.",79925,#N/A
793,Deer Horn Aviation Ltd. Co.,79711,#N/A
1174,Midland Development Corporation,79701,#N/A
1527,"Sturgill Turbine Service, Inc.",79602,#N/A
1585,Tradewind Turbines Corp.,79120,#N/A
573,"Avionics Services, Inc.",78801,#N/A
1490,Sparkcognition Inc.,78759,#N/A
860,Enterprise Ireland,78701,#N/A
1049,Ireland,78701,#N/A
402,"Aircraft Instrument Support Services, Inc.",78633,#N/A
1104,"L2Consulting Services, Inc.",78620,#N/A
524,"Austin Aerotech Repair Services, Inc.",78613,#N/A
268,"Advantage Aircraft Services, Inc.",78406,#N/A
525,Automated Cleaning Technologies,78249,#N/A
1405,"SA Aerotec Scientific, Inc.",78233,#N/A
714,"Chromalloy, San Antonio",78226,#N/A
1507,"StandardAero, San Antonio",78226,#N/A
1560,Tech Port San Antonio,78226,#N/A
1194,"MT Texas, LLC",78217,#N/A
1084,"Jordan Propeller Service, Inc.",78216,#N/A
278,Aero Comfort,78216,#N/A
298,"Aero Sky, LLC",78216,#N/A
723,City Plating and Metal Finishing,78216,#N/A
1499,"ST Aerospace San Antonio, L.P.",78216,#N/A
1500,ST Engineering,78216,#N/A
1501,ST Engineering Aerospace,78216,#N/A
1718,"The Zee Co., Inc.",78216,#N/A
87,Dean Baldwin Painting LP,78163,#N/A
1072,"Jet-Aero, Inc.",78163,#N/A
768,Crystal Avionics,78130,#N/A
572,Avionics Services International,78041,#N/A
1189,Mooney International,78028,#N/A
1249,Page Aviation,78014,#N/A
